t,u,v,w,T
0,3.44,0.916,-0.116,14.651
0.05,3.308,0.919,0.025,14.652
0.1,3.461,0.812,0.007,14.652
0.15,3.493,0.761,0.016,14.64
0.2,3.511,0.81,0.087,14.632
0.25,3.573,0.644,0.115,14.635
0.3,3.5,0.688,0.112,14.629
0.35,3.53,0.699,0.108,14.637
0.4,3.49,0.654,0.209,14.642
0.45,3.355,0.68,0.123,14.647
0.5,3.384,0.537,0.15,14.552
0.55,3.307,0.555,0.095,14.522
0.6,3.303,0.522,0.122,14.534
0.65,3.291,0.471,0.167,14.544
0.7,3.332,0.451,0.152,14.461
0.75,3.253,0.359,0.275,14.429
0.8,3.325,0.472,0.149,14.464
0.85,3.468,0.544,0.065,14.398
0.9,3.391,0.522,0.058,14.426
0.95,3.353,0.466,0.1,14.419
1,3.287,0.539,0.142,14.338
1.05,3.315,0.542,0.091,14.398
1.1,3.141,0.66,0.102,14.322
1.15,3.223,0.6,0.161,14.432
1.2,3.165,0.373,0.003,14.376
1.25,3.349,0.479,-0.009,14.552
1.3,3.387,0.444,0.046,14.524
1.35,3.388,0.428,0.084,14.666
1.4,3.405,0.421,0.032,14.749
1.45,3.285,0.403,-0.041,14.798
1.5,3.283,0.461,-0.032,14.781
1.55,3.285,0.471,-0.101,14.798
1.6,3.269,0.424,-0.095,14.8
1.65,3.251,0.501,0.007,14.72
1.7,3.189,0.65,0.109,14.559
1.75,3.207,0.857,-0.009,14.637
1.8,3.23,0.798,0.08,14.309
1.85,3.191,0.678,0.064,14.289
1.9,3.259,0.672,-0.001,14.446
1.95,3.39,0.723,0.036,14.26
2,3.427,0.803,0.058,14.307
2.05,3.464,0.666,0.034,14.361
2.1,3.486,0.765,0.023,14.442
2.15,3.438,0.817,0.047,14.525
2.2,3.383,0.792,0.156,14.398
2.25,3.409,0.813,0.173,14.478
2.3,3.345,0.746,0.137,14.497
2.35,3.38,0.769,0.175,14.463
2.4,3.35,0.775,0.09,14.436
2.45,3.385,0.771,0.036,14.405
2.5,3.284,1.03,0.094,14.429
2.55,3.147,1.128,0.131,14.392
2.6,3.259,1.104,0.173,14.404
2.65,3.155,0.924,0.234,14.307
2.7,3.025,0.939,0.199,14.327
2.75,3.158,0.973,0.06,14.316
2.8,3.105,0.848,0.297,14.305
2.85,2.995,0.974,0.208,14.294
2.9,2.832,0.823,0.228,14.334
2.95,2.915,1.044,0.249,14.343
3,3.22,1.217,0.09,14.419
3.05,3.131,1.131,0.042,14.444
3.1,3.026,1.059,0.122,14.331
3.15,3.224,0.871,0.289,14.163
3.2,3.218,1.078,0.16,14.224
3.25,3.14,1.081,0.196,14.311
3.3,3.346,1.147,0.148,14.388
3.35,2.878,1.092,0.094,14.419
3.4,3.017,1.251,0.19,14.454
3.45,2.948,1.062,0.432,14.248
3.5,3.052,1.052,0.451,14.021
3.55,3.127,0.817,0.512,14.101
3.6,2.974,1.084,0.288,14.448
3.65,2.897,1.132,0.116,14.458
3.7,2.732,1.153,0.175,14.442
3.74999999999999,2.989,1.165,0.118,14.28
3.79999999999999,3.294,0.938,0.386,14.038
3.84999999999999,3.123,0.585,0.587,14.009
3.89999999999999,3.077,1.05,0.711,14.057
3.94999999999999,2.963,0.854,0.62,14.13
3.99999999999999,2.825,0.991,0.632,14.354
4.04999999999999,2.579,1.128,0.577,14.464
4.09999999999999,2.813,1.081,0.073,14.41
4.14999999999999,2.506,1.38,-0.14,14.395
4.19999999999999,2.635,1.518,-0.012,14.329
4.24999999999999,2.648,1.488,0.091,14.309
4.29999999999999,2.668,1.513,0.103,14.326
4.34999999999999,2.692,1.505,0.046,14.376
4.39999999999999,2.771,1.505,0.002,14.407
4.44999999999999,2.847,1.615,-0.047,14.289
4.49999999999999,2.853,1.77,-0.008,14.265
4.54999999999999,2.883,1.59,-0.094,14.248
4.59999999999999,2.891,1.562,0.059,14.079
4.64999999999999,2.934,1.485,0.048,14.165
4.69999999999999,2.646,1.43,0.136,14.103
4.74999999999999,2.58,1.369,0.157,14.05
4.79999999999999,2.501,1.388,0.213,14.192
4.84999999999999,2.823,1.48,0.199,14.302
4.89999999999999,2.747,1.555,-0.051,14.27
4.94999999999999,2.742,1.064,-0.158,14.371
4.99999999999999,2.698,1.042,-0.154,14.334
5.04999999999999,2.938,1.12,0.095,14.324
5.09999999999999,2.968,0.943,0.169,14.333
5.14999999999999,3.02,0.789,0.218,14.316
5.19999999999999,2.964,0.824,0.282,14.317
5.24999999999999,2.961,1.02,0.259,14.37
5.29999999999999,2.872,0.866,0.173,14.349
5.34999999999999,2.921,0.83,0.283,14.353
5.39999999999999,2.934,0.898,0.257,14.361
5.44999999999999,3.168,0.674,0.127,14.324
5.49999999999999,3.308,0.626,0.264,14.311
5.54999999999999,3.442,0.518,0.271,14.333
5.59999999999999,3.473,0.745,0.288,14.373
5.64999999999999,3.349,0.816,0.402,14.344
5.69999999999999,3.227,0.621,0.367,14.393
5.74999999999999,3.355,0.586,0.347,14.41
5.79999999999999,3.297,0.594,0.36,14.385
5.84999999999999,3.263,0.578,0.356,14.397
5.89999999999999,3.292,0.75,0.357,14.385
5.94999999999999,3.307,0.51,0.32,14.361
5.99999999999999,3.319,0.493,0.313,14.339
6.04999999999999,3.227,0.421,0.278,14.349
6.09999999999999,3.373,0.268,0.374,14.326
6.14999999999999,3.753,0.368,0.498,14.333
6.19999999999999,3.458,0.575,0.465,14.353
6.24999999999999,3.556,0.559,0.465,14.295
6.29999999999999,3.378,0.784,0.488,14.256
6.34999999999999,3.188,0.792,0.395,14.234
6.39999999999999,3.137,0.829,0.171,14.201
6.44999999999999,3.499,0.635,0.553,14.253
