t,u,v,w,T
0,2.6895,0.61433333,0.08533333,14.4535
60,2.70116667,0.8425,0.127,14.3818333
120,2.71633333,0.7125,0.01416667,14.2795
180,2.82266667,0.774,0.09133333,14.2853333
240,2.721,0.913,0.13266667,14.1271667
300,2.24533333,0.91416667,0.1905,14.0905
360,1.9785,0.84033333,0.08666667,14.0223333
420,2.3265,0.84333333,0.01583333,13.8945
480,2.28216667,0.5405,0.00233333,13.6961667
540,2.3725,0.55033333,0.11966667,13.5576667
600,2.3115,0.28316667,0.0955,13.574
660,2.53,0.08633333,0.05016667,13.5956667
720,2.79016667,0.45416667,0.25966667,13.5746667
780,3.27633333,0.27583333,0.04383333,13.6755
840,2.92483333,0.0245,0.18066667,13.602
900,2.95333333,0.03633333,0.06633333,13.8375
960,2.92733333,-0.0286667,0.08616667,13.8655
1020,3.03,-0.221,0.189,13.8023333
1080,3.22733333,0.069,0.15566667,13.9421667
1140,3.04833333,-0.1153333,0.0335,13.897
1200,2.82666667,-0.1138333,0.1315,13.6226667
1260,2.91916667,-0.1536667,0.1045,13.6888333
1320,2.81733333,-0.2263333,0.207,13.6035
1380,3.1765,-0.0916667,0.10983333,13.8631667
1440,2.73683333,-0.0468333,0.1545,13.7295
1500,2.471,-0.3601667,0.00533333,13.7796667
1560,2.35216667,-0.3961667,0.14516667,13.6935
1620,2.53433333,-0.5081667,-0.0028333,13.788
